-1.999987	-1.180834	-0.9078807	-0.8159592	-0.7548531	-0.8264794
-1.898271	-1.123636	-0.9478937	-0.8832687	-0.9161023	-1.009758
-1.664566	-1.003178	-0.8350968	-0.8071783	-0.8191659	-0.9471783
-1.316935	-0.8949571	-0.7803646	-0.7541274	-0.7638764	-0.9027353
-0.9592279	-0.7535619	-0.6771541	-0.6635957	-0.695263	-0.8475621
-0.6807176	-0.643531	-0.5910099	-0.5992538	-0.625599	-0.7832628
-0.461608	-0.5533136	-0.5068781	-0.5110469	-0.5507466	-0.7286575
-0.2893736	-0.4433966	-0.433729	-0.4501795	-0.4895521	-0.6697358
-0.1567921	-0.3349767	-0.3423961	-0.357297	-0.4185362	-0.6005996
-0.0626304	-0.233605	-0.2801409	-0.3149922	-0.3769021	-0.5507863
0.0196349	-0.1791727	-0.2298911	-0.2576666	-0.3288776	-0.5162564
0.1070565	-0.1085732	-0.1807751	-0.2226074	-0.2898422	-0.4917634
0.2039561	-0.0454656	-0.1259834	-0.1749561	-0.2639974	-0.4600218
0.3091488	0.0236763	-0.0764224	-0.1272056	-0.214293	-0.4373616
0.4218223	0.1066664	-0.0002184	-0.0639751	-0.1406158	-0.3715592
0.5412841	0.1955995	0.0834337	0.0208329	-0.0907648	-0.3120788
0.6682997	0.3080252	0.1655771	0.0887668	-0.0102736	-0.2567191
0.8032838	0.4047575	0.2507418	0.160816	0.0465568	-0.2074315
0.9494439	0.5436605	0.369922	0.2866811	0.1492689	-0.1089365
1.111394	0.7019194	0.4908081	0.4015056	0.2693953	0.0148692
1.302472	0.8938196	0.6836306	0.5761486	0.4466405	0.1748299
1.49509	1.121054	0.8825106	0.7827792	0.6467132	0.3849817
1.695084	1.37249	1.151452	1.047835	0.895381	0.6467676
-1.999975	-1.155995	-0.8597679	-0.7368569	-0.6572919	-0.7212837
-1.86711	-1.077923	-0.8564556	-0.8096535	-0.7980237	-0.9217467
-1.564026	-0.9546546	-0.7890203	-0.7336698	-0.7253156	-0.8519117
-1.173033	-0.8221396	-0.7019473	-0.6674256	-0.6687414	-0.8153413
-0.8244801	-0.6969996	-0.612765	-0.5931314	-0.5979801	-0.7433332
-0.5779093	-0.577942	-0.5196726	-0.5134967	-0.5385284	-0.6897053
-0.3948173	-0.4689124	-0.4353367	-0.437878	-0.4766252	-0.6573256
-0.2529588	-0.3781827	-0.3733893	-0.3872455	-0.4296059	-0.6054974
-0.1466362	-0.2818629	-0.3113644	-0.3352115	-0.3817773	-0.5413018
-0.0717282	-0.2096093	-0.2488394	-0.2700958	-0.3326095	-0.511586
-0.0100785	-0.1443986	-0.2044892	-0.2434996	-0.3040904	-0.4828663
0.0501403	-0.1007971	-0.1609839	-0.2066051	-0.2795915	-0.4715159
0.1151403	-0.0363865	-0.1182766	-0.1593813	-0.2349994	-0.4358809
0.1886443	0.0218207	-0.0572492	-0.1113793	-0.1869695	-0.3961426
0.272162	0.0847842	-0.0030993	-0.0548171	-0.1354495	-0.3449335
0.3673511	0.1573221	0.053599	-0.0009035	-0.0861714	-0.3074079
0.4742895	0.245978	0.1447253	0.0802023	-0.022603	-0.2329435
0.5935027	0.3578695	0.2308245	0.169167	0.0714171	-0.124032
0.7301694	0.4722212	0.35184	0.2819682	0.1806316	-0.0323559
0.8949692	0.6002575	0.4553093	0.3801311	0.2683538	0.0402802
1.104783	0.7867225	0.6235738	0.5468818	0.4175867	0.1803811
1.342239	1.014286	0.8344087	0.7463302	0.601604	0.3640585
1.604805	1.281287	1.084411	0.9578332	0.8264909	0.5876986
-1.999959	-1.150895	-0.8313416	-0.6923188	-0.6032744	-0.6414033
-1.792038	-1.043643	-0.8167419	-0.7343646	-0.6966117	-0.7810677
-1.368564	-0.8990272	-0.7397436	-0.685521	-0.67365	-0.768252
-0.9453971	-0.7491499	-0.6375407	-0.60901	-0.6107109	-0.7235985
-0.6217975	-0.5913679	-0.5177885	-0.5008946	-0.5231929	-0.6438791
-0.4128304	-0.4646061	-0.4236346	-0.4261691	-0.4477461	-0.5860811
-0.2689267	-0.3579519	-0.3457199	-0.3547616	-0.3910334	-0.5364891
-0.1702442	-0.2681603	-0.2839342	-0.3046625	-0.3452758	-0.4942293
-0.1055597	-0.2002807	-0.2393302	-0.2617472	-0.3027276	-0.4514533
-0.0604724	-0.144383	-0.1931565	-0.2225554	-0.2696457	-0.4178077
-0.0231581	-0.1016186	-0.1602776	-0.1900842	-0.2410233	-0.3864419
0.0123073	-0.0639478	-0.1250208	-0.1572054	-0.2114837	-0.3595064
0.049002	-0.0291967	-0.0936442	-0.1330973	-0.1919791	-0.343801
0.0899427	0.0091837	-0.059542	-0.1042422	-0.1660933	-0.3222032
0.1377876	0.0486259	-0.0217118	-0.0671155	-0.1364353	-0.3023385
0.195971	0.0960723	0.0192308	-0.0279722	-0.0980411	-0.2671216
0.2682941	0.1546679	0.0739379	0.0288608	-0.0444795	-0.2188161
0.3596169	0.2307174	0.1443737	0.0910567	0.0172891	-0.1601358
0.4767549	0.327694	0.2342422	0.1809919	0.0998802	-0.0807876
0.6326503	0.4495347	0.3458902	0.2886752	0.2093031	0.0278847
0.857464	0.5950488	0.4784345	0.4181473	0.3208022	0.1347501
1.134731	0.7944316	0.6601456	0.5903439	0.4836972	0.2703346
1.493217	1.165439	1.009368	0.9305084	0.80784	0.5863761
-1.999942	-1.146307	-0.8287067	-0.6825429	-0.5851303	-0.611329
-1.646162	-1.024746	-0.8109037	-0.7181172	-0.6701171	-0.7154666
-1.100014	-0.8389269	-0.7115542	-0.6630329	-0.6409361	-0.7146125
-0.6901025	-0.6269526	-0.5476351	-0.5272336	-0.5247032	-0.6177961
-0.4130018	-0.4563483	-0.4132669	-0.4059952	-0.420386	-0.5221671
-0.2573133	-0.3293024	-0.3285465	-0.3392224	-0.3662595	-0.4729867
-0.169378	-0.2372954	-0.2597249	-0.2780436	-0.3148651	-0.4268169
-0.1175479	-0.1791527	-0.2148103	-0.2413924	-0.276732	-0.3900126
-0.0834242	-0.1395576	-0.180979	-0.2068279	-0.2398168	-0.3467068
-0.0574012	-0.1018258	-0.1438431	-0.1662562	-0.2004637	-0.2988665
-0.0349703	-0.0743787	-0.1179159	-0.1463656	-0.1814291	-0.2777779
-0.0126912	-0.0556752	-0.1016174	-0.1318738	-0.1744306	-0.2749734
0.0100839	-0.0282713	-0.0802728	-0.111955	-0.1553878	-0.2598576
0.0338571	-0.0077904	-0.0613554	-0.0955112	-0.1414752	-0.2472346
0.0602978	0.019062	-0.037469	-0.0757285	-0.1268422	-0.2358335
0.0910083	0.0462141	-0.0118529	-0.0500998	-0.1050293	-0.2167853
0.1282221	0.0768655	0.0170626	-0.0262698	-0.0813323	-0.1990504
