1.38791	.0052468	1.691742
1.22791	-.0301744	2.01632
1.067313	-.1178267	2.472841
.9508495	-.2142286	2.956697
.8612031	-.3100691	3.450127
.7940223	-.3781382	3.90749
.7471185	-.438678	4.295012
.703767	-.5015739	4.700575
.6725548	-.5641554	5.02274
.6486977	-.6167227	5.273139
.644465	-.622848	5.280006
.6853511	-.5339339	4.682792
.8621987	-.2348679	3.09336
1.375398	.0960153	1.724206
1.223264	.0632627	2.036287
1.048248	-.1086547	2.548292
.9120706	-.3015902	3.187412
.8132737	-.4764208	3.850041
.7477469	-.6018234	4.431343
.6956583	-.7122267	4.995529
.6550688	-.8089145	5.519617
.6261872	-.8993358	5.934988
.6127864	-.9270428	6.095731
.6458221	-.8066418	5.386353
.7301373	-.5761672	4.142711
.8732827	-.2251735	2.898682
1.344823	.1013107	1.773234
1.208913	.0565569	2.039629
1.038689	-.1858067	2.507394
.9146522	-.4326765	3.075016
.8378345	-.6109486	3.567754
.7925308	-.7396776	3.89644
.7638265	-.8305728	4.128563
.7482712	-.9006596	4.26365
.7342131	-.9598636	4.41846
.7247058	-.9514405	4.520211
.7374827	-.7911738	4.259634
.7874396	-.5425056	3.595693
.9201943	-.1530688	2.672819
